surface,molecule,functional,E_ads_DFT_SP,E_ads_ML_SP,delta_SP,ML_minus_SPE_minus_relaxed_DFT,E_ads_ML_relaxed_displayed,E_ads_DFT_relaxed_displayed,provenance,complex_directory,relaxed_review,SPE_review,analysis_eligible
Ag110,SO2,r2scan,-1.59943125,-0.68,0.91943125,2.64243125,-0.68,-1.723,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_SO2/singlepoint/r2scan,false,false,true
Ag110,acetaldehyde,pbe,-0.47597273,-0.59,-0.11402727,0.39697273,-0.59,-0.511,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_acetaldehyde/singlepoint/PBE,false,false,true
Ag110,acetaldehyde,pbe_d3,-0.74167078,-0.59,0.15167078,0.93667078,-0.59,-0.785,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_acetaldehyde/singlepoint/PBE_D3,false,false,true
Ag110,acetaldehyde,r2scan,-0.89961086,-0.59,0.30961086,1.26561086,-0.59,-0.956,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_acetaldehyde/singlepoint/r2scan,false,false,true
Ag110,acetaldehyde,beef_vdw,-16.75531282,-0.59,16.16531282,33.04131282,-0.59,-16.876,Perlmutter converged NSW=0 result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Ag110/singlepoint/beef_vdw,true,true,false
Ag110,acetic_acid,r2scan,-1.08320116,-0.68,0.40320116,1.52920116,-0.68,-1.126,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_acetic_acid/singlepoint/r2scan,false,false,true
Ag110,acetic_acid,beef_vdw,-16.92526923,-0.68,16.24526923,33.24326923,-0.68,-16.998,Perlmutter converged NSW=0 result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3COOH_Ag110/singlepoint/beef_vdw,true,true,false
Ag110,ethane,pbe,-0.41146521,-0.38,0.03146521,0.44546521,-0.38,-0.414,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_ethane/singlepoint/PBE,false,false,true
Ag110,ethane,pbe_d3,-0.59929504,-0.38,0.21929504,0.82229504,-0.38,-0.603,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_ethane/singlepoint/PBE_D3,false,false,true
Ag110,ethane,r2scan,-0.73212595,-0.38,0.35212595,1.11212595,-0.38,-0.76,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_ethane/singlepoint/r2scan,false,false,true
Ag110,ethane,beef_vdw,-16.67099884,-0.38,16.29099884,33.04199884,-0.38,-16.751,Perlmutter converged NSW=0 result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag110/singlepoint/beef_vdw,true,true,false
Ag110,ethanol,pbe,-0.224505,-0.545704,-0.321199,0.974505,-0.55,-1.30,Previously published single-point result,,false,false,true
Ag110,ethanol,pbe_d3,-0.474308,-0.545704,-0.071396,1.594308,-0.55,-1.67,Previously published single-point result,,false,false,true
Ag110,ethanol,r2scan,-0.239902,-0.545704,-0.305802,1.879902,-0.55,-2.19,Previously published single-point result,,false,false,true
Ag110,ethanol,beef_vdw,-0.372079,-0.545704,-0.173625,,-0.55,,Previously published single-point result,,false,false,true
Ag110,ethene,pbe,-0.141595,-0.407467,-0.265872,0.326595,-0.41,-0.595,Previously published single-point result,,false,false,true
Ag110,ethene,pbe_d3,-0.411256,-0.407467,0.003789,0.917256,-0.41,-0.916,Previously published single-point result,,false,false,true
Ag110,ethene,r2scan,-0.179103,-0.407467,-0.228364,0.819103,-0.41,-1.05,Previously published single-point result,,false,false,true
Ag110,ethene,beef_vdw,-0.156003,-0.407467,-0.251464,16.632003,-0.41,-16.886,Previously published single-point result,,true,false,false
Ag110,formaldehyde,pbe,-0.50759535,-0.41,0.09759535,0.63159535,-0.41,-0.534,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_formaldehyde/singlepoint/PBE,false,false,true
Ag110,formaldehyde,pbe_d3,-0.73299925,-0.41,0.32299925,1.08199925,-0.41,-0.759,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_formaldehyde/singlepoint/PBE_D3,false,false,true
Ag110,formaldehyde,r2scan,-0.92338785,-0.41,0.51338785,1.48738785,-0.41,-0.974,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_formaldehyde/singlepoint/r2scan,false,false,true
Ag110,formate,pbe,-3.30712298,-2.33,0.97712298,4.28712298,-2.33,-3.31,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_formate/singlepoint/PBE,false,false,true
Ag110,formate,pbe_d3,-3.61480911,-2.33,1.28480911,4.93480911,-2.33,-3.65,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_formate/singlepoint/PBE_D3,false,false,true
Ag110,formate,r2scan,-4.28542931,-2.33,1.95542931,6.32542931,-2.33,-4.37,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_formate/singlepoint/r2scan,false,false,true
Ag110,formic_acid,pbe,-0.62006101,-0.48,0.14006101,0.76906101,-0.48,-0.629,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_formic_acid/singlepoint/PBE,false,false,true
Ag110,formic_acid,pbe_d3,-0.90546236,-0.48,0.42546236,1.35746236,-0.48,-0.932,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_formic_acid/singlepoint/PBE_D3,false,false,true
Ag110,formic_acid,r2scan,-1.04443886,-0.48,0.56443886,1.66943886,-0.48,-1.105,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_formic_acid/singlepoint/r2scan,false,false,true
Ag110,glycerol,pbe,-0.90417453,-0.96,-0.05582547,1.35417453,-0.96,-1.41,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag110_glycerol/singlepoint/PBE,false,false,true
Ag110,glycerol,pbe_d3,-1.45163228,-0.96,0.49163228,2.43163228,-0.96,-1.94,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag110_glycerol/singlepoint/PBE_D3,false,false,true
Ag110,glycerol,r2scan,-1.43106921,-0.96,0.47106921,3.01106921,-0.96,-2.54,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag110_glycerol/singlepoint/r2scan,false,false,true
Ag110,isopropanol,pbe,-0.237413,-0.585964,-0.348551,0.957413,-0.59,-1.31,Previously published single-point result,,false,false,true
Ag110,isopropanol,pbe_d3,-0.587492,-0.585964,0.001527,1.737492,-0.59,-1.74,Previously published single-point result,,false,false,true
Ag110,isopropanol,r2scan,-0.294978,-0.585964,-0.290986,2.004978,-0.59,-2.30,Previously published single-point result,,false,false,true
Ag110,isopropanol,beef_vdw,-0.463207,-0.585964,-0.122757,,-0.59,,Previously published single-point result,,false,false,true
Ag110,methane,pbe,-0.39027692,-0.46,-0.06972308,0.32327692,-0.46,-0.393,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_CH4/singlepoint/PBE,false,false,true
Ag110,methane,pbe_d3,-0.53172909,-0.46,0.07172909,0.61072909,-0.46,-0.539,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_CH4/singlepoint/PBE_D3,false,false,true
Ag110,methane,r2scan,-0.71312235,-0.46,0.25312235,0.99912235,-0.46,-0.746,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_CH4/singlepoint/r2scan,false,false,true
Ag110,methanol,pbe,-0.61578729,-0.48,0.13578729,0.76078729,-0.48,-0.625,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_methanol/singlepoint/PBE,false,false,true
Ag110,methanol,pbe_d3,-0.82557198,-0.48,0.34557198,1.21757198,-0.48,-0.872,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_methanol/singlepoint/PBE_D3,false,false,true
Ag110,methanol,r2scan,-1.01087754,-0.48,0.53087754,1.59887754,-0.48,-1.068,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_methanol/singlepoint/r2scan,false,false,true
Ag110,methanol,beef_vdw,-16.85381134,-0.48,16.37381134,33.30381134,-0.48,-16.930,Perlmutter converged NSW=0 result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Ag110/singlepoint/beef_vdw,true,true,false
Ag110,propane,pbe,-0.41432294,-0.38,0.03432294,1.10432294,-0.38,-1.07,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag110_propane/singlepoint/PBE,false,false,true
Ag110,propane,pbe_d3,-0.63232045,-0.38,0.25232045,1.72232045,-0.38,-1.47,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag110_propane/singlepoint/PBE_D3,false,false,true
Ag110,propane,r2scan,-0.72861939,-0.38,0.34861939,2.35861939,-0.38,-2.01,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag110_propane/singlepoint/r2scan,false,false,true
Ag110,propanol,pbe,-0.243158,-0.544685,-0.301528,1.023158,-0.54,-1.32,Previously published single-point result,,false,false,true
Ag110,propanol,pbe_d3,-0.5436,-0.544685,-0.001085,1.7336,-0.54,-1.73,Previously published single-point result,,false,false,true
Ag110,propanol,r2scan,-0.255189,-0.544685,-0.289496,2.015189,-0.54,-2.30,Previously published single-point result,,false,false,true
Ag110,propanol,beef_vdw,-0.434177,-0.544685,-0.110508,,-0.54,,Previously published single-point result,,false,false,true
Ag110,propene,pbe,-0.51154589,-0.34,0.17154589,1.44154589,-0.34,-1.27,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag110_propene/singlepoint/PBE,false,false,true
Ag110,propene,pbe_d3,-0.88711618,-0.34,0.54711618,2.26711618,-0.34,-1.72,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag110_propene/singlepoint/PBE_D3,false,false,true
Ag110,propene,r2scan,-0.94387381,-0.34,0.60387381,2.88387381,-0.34,-2.28,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag110_propene/singlepoint/r2scan,false,false,true
Ag111,CH3,pbe,-1.44896442,-1.53,-0.08103558,1.39896442,-1.53,-1.48,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH3/singlepoint/PBE,false,false,true
Ag111,CH3,pbe_d3,-1.57621776,-1.53,0.04621776,1.77621776,-1.53,-1.73,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH3/singlepoint/PBE_D3,false,false,true
Ag111,CH3,r2scan,-1.82020558,-1.53,0.29020558,2.21020558,-1.53,-1.92,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH3/singlepoint/r2scan,false,false,true
Ag111,CO,pbe,-0.56903372,-0.43,0.13903372,0.72903372,-0.43,-0.59,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CO/singlepoint/PBE,false,false,true
Ag111,CO,pbe_d3,-0.64460994,-0.43,0.21460994,1.04460994,-0.43,-0.83,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CO/singlepoint/PBE_D3,false,false,true
Ag111,CO,r2scan,-1.01845657,-0.43,0.58845657,1.89845657,-0.43,-1.31,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CO/singlepoint/r2scan,false,false,true
Ag111,CO2,pbe,-0.001847,-0.356842,-0.354995,0.876847,-0.36,-1.235,Previously published single-point result,,false,false,true
Ag111,CO2,r2scan,-0.008145,-0.356842,-0.348697,1.818145,-0.36,-2.17,Previously published single-point result,,false,false,true
Ag111,CO2,beef_vdw,-0.15301,-0.356842,-0.203832,44.27201,-0.36,-44.479,Previously published single-point result,,true,false,false
Ag111,DME,r2scan,-1.15349875,-0.20,0.95349875,2.27349875,-0.20,-1.32,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_DME/singlepoint/r2scan,false,false,true
Ag111,H2,pbe,-0.62771715,-0.23,0.39771715,1.07771715,-0.23,-0.68,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2/singlepoint/PBE,false,false,true
Ag111,H2,pbe_d3,-0.56243131,-0.23,0.33243131,1.11243131,-0.23,-0.78,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2/singlepoint/PBE_D3,false,false,true
Ag111,H2,r2scan,-1.03420513,-0.23,0.80420513,2.01420513,-0.23,-1.21,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2/singlepoint/r2scan,false,false,true
Ag111,H2O,pbe,-0.74378743,-0.45,0.29378743,1.09378743,-0.45,-0.80,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2O/singlepoint/PBE,false,false,true
Ag111,H2O,pbe_d3,-0.76693169,-0.45,0.31693169,1.32693169,-0.45,-1.01,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2O/singlepoint/PBE_D3,false,false,true
Ag111,H2O,r2scan,-1.20206615,-0.45,0.75206615,2.13206615,-0.45,-1.38,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2O/singlepoint/r2scan,false,false,true
Ag111,H2S,pbe,-0.72680963,-0.37,0.35680963,1.15680963,-0.37,-0.80,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2S/singlepoint/PBE,false,false,true
Ag111,H2S,pbe_d3,-0.87846267,-0.37,0.50846267,1.64846267,-0.37,-1.14,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2S/singlepoint/PBE_D3,false,false,true
Ag111,H2S,r2scan,-1.21384986,-0.37,0.84384986,,-0.37,,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2S/singlepoint/r2scan,false,false,true
Ag111,N2,pbe,-0.66266226,-0.05,0.61266226,1.31266226,-0.05,-0.70,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_N2/singlepoint/PBE,false,false,true
Ag111,N2,pbe_d3,-0.58602370,-0.05,0.53602370,1.31602370,-0.05,-0.78,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_N2/singlepoint/PBE_D3,false,false,true
Ag111,N2,r2scan,-1.05975117,-0.05,1.00975117,2.24975117,-0.05,-1.24,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_N2/singlepoint/r2scan,false,false,true
Ag111,NH3,pbe,-0.93979859,-0.60,0.33979859,1.30979859,-0.60,-0.97,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NH3/singlepoint/PBE,false,false,true
Ag111,NH3,pbe_d3,-1.01190343,-0.60,0.41190343,1.64190343,-0.60,-1.23,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NH3/singlepoint/PBE_D3,false,false,true
Ag111,NH3,r2scan,-1.44411182,-0.60,0.84411182,2.47411182,-0.60,-1.63,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NH3/singlepoint/r2scan,false,false,true
Ag111,NO,pbe,-1.18534753,-0.54,0.64534753,1.88534753,-0.54,-1.24,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NO/singlepoint/PBE,false,false,true
Ag111,NO,pbe_d3,-1.28147781,-0.54,0.74147781,2.20147781,-0.54,-1.46,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NO/singlepoint/PBE_D3,false,false,true
Ag111,SO2,pbe,-0.69403210,-0.28,0.41403210,1.18403210,-0.28,-0.77,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_SO2/singlepoint/PBE,false,false,true
Ag111,SO2,pbe_d3,-0.98528819,-0.28,0.70528819,1.92528819,-0.28,-1.22,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_SO2/singlepoint/PBE_D3,false,false,true
Ag111,acetaldehyde,pbe,-0.67488017,-0.41,0.26488017,0.98488017,-0.41,-0.72,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetaldehyde/singlepoint/PBE,false,false,true
Ag111,acetaldehyde,pbe_d3,-0.78577793,-0.41,0.37577793,1.35577793,-0.41,-0.98,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetaldehyde/singlepoint/PBE_D3,false,false,true
Ag111,acetaldehyde,r2scan,-1.17633314,-0.41,0.76633314,2.09633314,-0.41,-1.33,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetaldehyde/singlepoint/r2scan,false,false,true
Ag111,acetic_acid,r2scan,-1.32527930,-0.47,0.85527930,2.33527930,-0.47,-1.48,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetic_acid/singlepoint/r2scan,false,false,true
Ag111,ethane,pbe,-0.001734,-0.274319,-0.272584,0.952734,-0.27,-1.221,Previously published single-point result,,false,false,true
Ag111,ethane,pbe_d3,-0.133735,-0.274319,-0.140584,1.341735,-0.27,-1.478,Previously published single-point result,,false,false,true
Ag111,ethane,r2scan,0.000281,-0.274319,-0.2746,1.897719,-0.27,-2.168,Previously published single-point result,,false,false,true
Ag111,ethane,beef_vdw,-0.200327,-0.274319,-0.073992,44.453327,-0.27,-44.523,Previously published single-point result,,true,false,false
Ag111,ethanol,pbe,-0.085274,-0.375816,-0.290542,1.022274,-0.38,-1.317,Previously published single-point result,,false,false,true
Ag111,ethanol,pbe_d3,-0.271032,-0.375816,-0.104784,1.545032,-0.38,-1.654,Previously published single-point result,,false,false,true
Ag111,ethanol,r2scan,-0.157044,-0.375816,-0.218772,2.067044,-0.38,-2.29,Previously published single-point result,,false,false,true
Ag111,ethanol,beef_vdw,-0.309854,-0.375816,-0.065962,44.576854,-0.38,-44.647,Previously published single-point result,,true,false,false
Ag111,ethene,pbe,-0.033948,-0.1674,-0.133452,0.583948,-0.17,-0.72,Previously published single-point result,,false,false,true
Ag111,ethene,pbe_d3,-0.183861,-0.1674,0.01646,1.103861,-0.17,-1.09,Previously published single-point result,,false,false,true
Ag111,ethene,r2scan,-0.062174,-0.1674,-0.105226,1.202174,-0.17,-1.31,Previously published single-point result,,false,false,true
Ag111,ethene,beef_vdw,-0.223215,-0.1674,0.055815,,-0.17,,Previously published single-point result,,false,false,true
Ag111,formaldehyde,pbe,-0.67587271,-0.26,0.41587271,1.13587271,-0.26,-0.72,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formaldehyde/singlepoint/PBE,false,false,true
Ag111,formaldehyde,pbe_d3,-0.69779009,-0.26,0.43779009,1.33779009,-0.26,-0.90,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formaldehyde/singlepoint/PBE_D3,false,false,true
Ag111,formaldehyde,r2scan,-1.13048838,-0.26,0.87048838,,-0.26,,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formaldehyde/singlepoint/r2scan,false,false,true
Ag111,formate,pbe,-3.20392680,-1.98,1.22392680,4.43392680,-1.98,-3.21,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formate/singlepoint/PBE,false,false,true
Ag111,formate,pbe_d3,-3.39579107,-1.98,1.41579107,4.98579107,-1.98,-3.57,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formate/singlepoint/PBE_D3,false,false,true
Ag111,formate,r2scan,-4.21887567,-1.98,2.23887567,6.57887567,-1.98,-4.34,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formate/singlepoint/r2scan,false,false,true
Ag111,formic_acid,pbe,-0.77185521,-0.34,0.43185521,1.24185521,-0.34,-0.81,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formic_acid/singlepoint/PBE,false,false,true
Ag111,formic_acid,pbe_d3,-0.89855632,-0.34,0.55855632,1.69855632,-0.34,-1.14,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formic_acid/singlepoint/PBE_D3,false,false,true
Ag111,formic_acid,r2scan,-1.26629362,-0.34,0.92629362,2.40629362,-0.34,-1.48,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formic_acid/singlepoint/r2scan,false,false,true
Ag111,glycerol,pbe,-0.82956066,-0.58,0.24956066,1.64956066,-0.58,-1.40,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag111_glycerol/singlepoint/PBE,false,false,true
Ag111,glycerol,pbe_d3,-1.21178856,-0.58,0.63178856,2.65178856,-0.58,-2.02,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag111_glycerol/singlepoint/PBE_D3,false,false,true
Ag111,glycerol,r2scan,-1.43216909,-0.58,0.85216909,3.31216909,-0.58,-2.46,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag111_glycerol/singlepoint/r2scan,false,false,true
Ag111,isopropanol,pbe,-0.75542756,-0.41,0.34542756,1.67542756,-0.41,-1.33,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag111_isopropanol/singlepoint/PBE,false,false,true
Ag111,isopropanol,pbe_d3,-0.98518463,-0.41,0.57518463,2.38518463,-0.41,-1.81,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag111_isopropanol/singlepoint/PBE_D3,false,false,true
Ag111,isopropanol,r2scan,-1.29000638,-0.41,0.88000638,3.27000638,-0.41,-2.39,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag111_isopropanol/singlepoint/r2scan,false,false,true
Ag111,methane,pbe,-0.66337777,-0.39,0.27337777,0.97337777,-0.39,-0.70,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH4/singlepoint/PBE,false,false,true
Ag111,methane,pbe_d3,-0.67467854,-0.39,0.28467854,1.14467854,-0.39,-0.86,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH4/singlepoint/PBE_D3,false,false,true
Ag111,methane,r2scan,-1.09451254,-0.39,0.70451254,1.97451254,-0.39,-1.27,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH4/singlepoint/r2scan,false,false,true
Ag111,methanol,pbe,-0.75804448,-0.33,0.42804448,1.21804448,-0.33,-0.79,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_methanol/singlepoint/PBE,false,false,true
Ag111,methanol,pbe_d3,-0.84902785,-0.33,0.51902785,1.60902785,-0.33,-1.09,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_methanol/singlepoint/PBE_D3,false,false,true
